tipo de cultivo,surcos,lidar,Dia de la plantacion,Unnamed: 4,Coordenadas del campo(latitud),Coordenadas del campo(longitud),Coordenadas del campo(altura),Area del cultivo,Unnamed: 9,Distancia de surco,Numero de surcos,Ancho de la hilera,Numero de arboles por hilera,Distancia entre arboles por hilera,numero de marcadores,numero de variables,Unnamed: 17,Coordenadas de los marcadores (latitud),Coordenadas de los marcadores (longitud),Unnamed: 20,Coordenadas de los puntos (latitud),Coordenadas de los puntos (longitud),Unnamed: 23,Arbol 1 Hoja,Arbol 1 Alto,Arbol 1 Ancho,Unnamed: 27,Altura del lidar,Angulo del lidar,velocidad de la plataforma,Resolucion angular de anillos,Numero de anillos,angulos_lidar,Unnamed: 34,cantidad de escaneos,resolucion,distancia promedio,angulo incidencia
maiz,True,True,11-08-2021,,4.43852,-75.19976,1000.0,1110.42,,1.5,10.0,1.0,11.0,0.5,11.0,3.0, ,4.438062274561083,-75.19954203039362,,4.438057330181662,-75.19957111032473,,1.5,1.0,1.5,,4.0,45.0,25.0,0.06,8.0,-17.0,,830.0,16286.447,12.5891,39.775
,,,,,4.43807,-75.19964,1000.0,1110.42,,,,,,,,,,4.438051725255747,-75.19950524118794,,4.438042437052824,-75.19951917264393,,,1.6,1.0,,,,,,,-14.3,,,,,
,,,,,4.4383,-75.19867,1000.0,1110.42,,,,,,,,,,4.438041175949088,-75.19946845198507,,4.438060276809668,-75.19950726985124,,,,1.6,,,,,,,-7.0,,,,,
,,,,,4.43875,-75.19878,1000.0,1110.42,,,,,,,,,,4.43806448453374,-75.19949415001162,,4.438045383666367,-75.1994553321395,,,,2.0,,,,,,,-4.5,,,,,
,,,,,,,,,,,,,,,,,,4.43805393522072,-75.19945736078951,,4.438063223436055,-75.1994434292932,,,,3.0,,,,,,,-3.0,,,,,
,,,,,,,,,,,,,,,,,,4.438043385906378,-75.19942057157022,,4.438048330278289,-75.19939149155053,,,,,,,,,,,0.0,,,,,
,,,,,,,,,,,,,,,,,,4.438051440347293,-75.19946718939177,,4.438052830238347,-75.19948130099466,,,,,,,,,,,1.0,,,,,
,,,,,,,,,,,,,,,,,,4.438066994027408,-75.19961407617743,,,,,,,,,,,,,,3.0,,,,,
,,,,,,,,,,,,,,,,,,4.4380310023035285,-75.19948856012529,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4.43807362396052,-75.19947043506382,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4.4380376321579975,-75.1993449188435,,,,,,,,,,,,,,,,,,,
